"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
World,"176,585,012","+178,032","3,813,458","+2,963","160,602,310","+232,297","12,169,244","85,105"
USA,"34,316,324",+451,"614,981 ",+26,"28,381,970",+347,"5,319,373","4,541"
India,"29,505,701","+66,663","371,271 ",+864,"28,143,927","+108,041","990,503","8,944"
Brazil,"17,376,998",,"486,358 ",,"15,761,177",,"1,129,463","8,318"
France,"5,737,810",,"110,407 ",,"5,493,259",,"134,144","2,110"
Turkey,"5,325,435",,"48,668 ",,"5,198,057",,"78,710",973
Russia,"5,208,687","+14,723","126,430 ",+357,"4,801,335","+9,166","280,922","2,300"
UK,"4,565,813","+7,490","127,904 ",+8,"4,287,870","+1,705","150,039",158
Italy,"4,244,872","+1,390","127,002 ",+26,"3,957,557","+3,460","160,313",565
Argentina,"4,111,147",,"85,075 ",,"3,695,288",,"330,784","7,895"
Spain,"3,733,600",,"80,501 ",,"3,509,730",,"143,369",966
Colombia,"3,724,705",,"95,192 ",,"3,457,117",,"172,396","8,155"
Germany,"3,722,606",+311,"90,456 ",,"3,576,800","+3,200","55,350","1,598"
Iran,"3,028,717","+8,195","82,098 ",+187,"2,652,792","+12,511","293,827","3,483"
Poland,"2,877,469",+227,"74,573 ",+11,"2,648,504",+297,"154,392",317
Mexico,"2,452,469","+3,649","230,095 ",+274,"1,952,382","+4,114","269,992","4,798"
Ukraine,"2,223,558",+857,"51,679 ",+33,"2,127,337","+1,652","44,542",177
Peru,"2,001,059",,"188,443 ",,N/A,N/A,N/A,"2,548"
Indonesia,"1,911,358","+9,868","52,879 ",+149,"1,745,091","+4,655","113,388",
South Africa,"1,739,425",,"57,706 ",,"1,602,406",,"79,313",546
Netherlands,"1,672,744","+1,041","17,711 ",+3,"1,571,574","+5,515","83,459",280
Czechia,"1,665,097",+74,"30,225 ",+1,"1,629,379",+5,"5,493",24
Chile,"1,476,473","+7,481","30,707 ",+128,"1,399,187","+8,171","46,579","3,292"
Canada,"1,401,006",,"25,914 ",,"1,357,493",,"17,599",725
Philippines,"1,315,639","+7,302","22,788 ",+137,"1,232,986","+7,701","59,865","1,704"
Iraq,"1,254,643","+3,952","16,705 ",+15,"1,172,227","+4,029","65,711",487
Sweden,"1,083,456",,"14,537 ",,"1,022,457",,"46,462",113
Romania,"1,079,726",+69,"31,834 ",+9,"1,044,237",+237,"3,655",229
Belgium,"1,075,765",+777,"25,081 ",+6,"1,001,398","+8,583","49,286",285
Pakistan,"941,170","+1,239","21,689 ",+56,"877,191","+1,610","42,290","2,760"
Portugal,"857,447",+707,"17,047 ",+2,"815,342",+248,"25,058",82
Israel,"839,663",+2,"6,430 ",+2,"833,023",+12,210,31
Bangladesh,"826,922","+2,436","13,118 ",+47,"766,266","+2,242","47,538","1,173"
Hungary,"806,790",,"29,904 ",,"724,614",,"52,272",51
Japan,"773,822","+1,944","14,033 ",+56,"727,730","+2,926","32,059",852
Jordan,"743,331",+500,"9,592 ",+10,"726,219",+662,"7,520",540
Serbia,"714,891",+138,"6,962 ",+4,"703,771",+407,"4,158",23
Switzerland,"700,051",,"10,859 ",,"666,384",,"22,808",88
Malaysia,"657,508","+5,304","3,908 ",+64,"580,276","+8,163","73,324",917
Austria,"648,620",+233,"10,661 ",+9,"633,939",+401,"4,020",102
Nepal,"608,472","+1,694","8,412 ",+46,"531,105","+3,994","68,955",
UAE,"597,986","+1,969","1,726 ",+2,"577,234","+1,946","19,026",
Lebanon,"542,523",,"7,794 ",,"527,174",,"7,555",78
Morocco,"523,890",+270,"9,211 ",+4,"511,126",+168,"3,553",106
Saudi Arabia,"465,797","+1,017","7,572 ",+19,"448,093","+1,133","10,132","1,575"
Ecuador,"438,108",,"21,018 ",,"398,645",,"18,445",453
Bulgaria,"420,294",,"17,898 ",,"389,402",,"12,994",246
Greece,"414,933",+297,"12,419 ",+17,"391,761","+1,836","10,753",358
Belarus,"405,663",+923,"2,978 ",+9,"398,742","+1,155","3,943",
Bolivia,"405,347","+2,056","15,485 ",+68,"319,666","+2,085","70,196",200
Kazakhstan,"401,272","+1,058","4,160 ",+10,"376,831","+1,374","20,281",221
Slovakia,"391,026",+42,"12,439 ",+3,"377,254",+99,"1,333",44
Paraguay,"389,650",,"10,699 ",,"322,269",,"56,682",613
Panama,"387,127",,"6,439 ",,"371,597",,"9,091",105
Tunisia,"367,047",,"13,436 ",,"320,767",,"32,844",424
Croatia,"358,504",,"8,132 ",,"349,244",,"1,128",35
Georgia,"353,965",+522,"5,048 ",+14,"339,392","+1,074","9,525",
Costa Rica,"339,900",,"4,322 ",,"261,195",,"74,383",495
Uruguay,"336,470",,"4,956 ",,"296,855",,"34,659",452
Azerbaijan,"335,126",,"4,953 ",,"328,398",,"1,775",
Kuwait,"326,451",,"1,817 ",,"308,829",,"15,805",161
Palestine,"311,018",,"3,524 ",,"302,944",,"4,550",18
Dominican Republic,"307,847",,"3,705 ",,"250,595",,"53,547",478
Denmark,"289,874",+315,"2,525 ",,"278,256",+808,"9,093",20
Lithuania,"277,746",+117,"4,339 ",+3,"263,362",+146,"10,045",94
Ethiopia,"274,028",,"4,237 ",,"250,089",,"19,702",260
Egypt,"272,491",,"15,582 ",,"200,273",,"56,636",90
Guatemala,"271,131",,"8,439 ",,"245,610",,"17,082",5
Ireland,"266,504",,"4,941 ",,"249,929",+420,"11,634",22
Bahrain,"257,852",,"1,206 ",,"242,678",,"13,968",307
Slovenia,"256,443",+91,"4,404 ",+3,"249,232",+134,"2,807",44
Moldova,"255,797",+39,"6,154 ",+2,"248,671",+77,972,58
Venezuela,"250,309",,"2,814 ",,"230,248",,"17,247",291
Honduras,"247,074","+1,379","6,606 ",+7,"88,164",+300,"152,304",556
Oman,"234,634","+1,482","2,513 ",+24,"210,952","+3,157","21,169",374
Armenia,"223,682",+39,"4,484 ",+2,"215,195",+77,"4,003",
Sri Lanka,"223,638","+2,361","2,136 ",,"188,547","+2,031","32,955",
Qatar,"219,730",+117,577 ,+1,"216,944",+246,"2,209",87
Bosnia and Herzegovina,"204,597",,"9,479 ",,"177,122",,"17,996",
Thailand,"195,909","+2,804","1,449 ",+18,"154,414","+4,143","40,046","1,169"
Libya,"189,059",+297,"3,161 ",+3,"174,666",+232,"11,232",
Kenya,"175,176",,"3,396 ",,"120,031",,"51,749",113
Nigeria,"167,059",,"2,117 ",,"163,436",,"1,506",11
Cuba,"157,708","+1,470","1,087 ",+12,"149,759","+1,027","6,862",151
North Macedonia,"155,536",+8,"5,471 ",,"149,628",+9,437,25
S. Korea,"147,874",+452,"1,985 ",+3,"138,581",+544,"7,308",146
Myanmar,"145,603",+373,"3,244 ",+3,"132,928",+98,"9,431",
Latvia,"136,030",+90,"2,456 ",+5,"130,728",+180,"2,846",51
Algeria,"133,070",,"3,565 ",,"92,620",,"36,885",25
Albania,"132,459",+10,"2,453 ",,"129,842",+16,164,18
Estonia,"130,510",+37,"1,266 ",,"125,753",+38,"3,491",9
Norway,"128,046",+60,789 ,,"88,952",,"38,305",11
Zambia,"111,746","+1,414","1,389 ",+24,"97,756","+1,110","12,601",580
Kyrgyzstan,"110,370",+558,"1,890 ",+9,"102,633",+319,"5,847",102
Uzbekistan,"103,510",+304,708 ,+3,"99,416",+264,"3,386",23
Montenegro,"99,956",+28,"1,601 ",+3,"97,930",+41,425,60
Ghana,"94,493",,789 ,,"92,589",,"1,115",5
Finland,"93,821",+47,964 ,,"46,000",,"46,857",9
Afghanistan,"91,458","+1,597","3,612 ",+85,"61,410",+471,"26,436","1,124"
Cameroon,"80,090",,"1,310 ",,"77,305",,"1,475",152
Mongolia,"76,084","+2,188",365 ,+14,"56,947",+498,"18,772",126
El Salvador,"75,351",,"2,295 ",+3,"70,150",,"2,906",18
Cyprus,"73,115",,372 ,,"71,464",,"1,279",15
Mozambique,"71,461",,840 ,,"69,878",,743,17
Luxembourg,"70,406",,818 ,,"68,943",,645,3
Maldives,"70,077",,195 ,,"58,832",,"11,050",90
Namibia,"64,205",,993 ,,"54,137",,"9,075",62
Singapore,"62,276",+13,34 ,,"61,869",+31,373,1
Uganda,"61,977","+1,727",428 ,+5,"48,160",,"13,389",24
Botswana,"59,480",,896 ,,"55,617",,"2,967",1
Jamaica,"49,232",,996 ,,"27,365",,"20,871",11
Ivory Coast,"47,662",,306 ,,"47,178",,178,
Senegal,"41,998",+46,"1,154 ",+3,"40,536",+47,308,8
Madagascar,"41,933",+39,887 ,+5,"40,239",+26,807,97
Zimbabwe,"39,852",,"1,632 ",,"36,992",,"1,228",2
Cambodia,"38,427",+468,335 ,+15,"31,858",+636,"6,234",
Angola,"36,600",,825 ,,"30,207",,"5,568",9
Sudan,"36,304",+26,"2,732 ",+1,"29,994",+27,"3,578",
DRC,"35,228",+279,834 ,,"27,825",,"6,569",
Malawi,"34,485",,"1,159 ",,"32,725",,601,12
